problem_id,problem_text,answer,hint,translation
13660,Смешали 8 литров 15-процентного раствора вещества с 12 литрами \linebreak40-процентного раствора этого же вещества. Сколько процентов составляет концентрация получившегося раствора?,30,найти среднее по весу,Mixed 8 liters of a 15-percent solution of a substance with 12 liters of a 40-percent solution of the same substance. What is the concentration percentage of the resulting solution?
5206,Найдите корень уравнения $\sqrt{6x+13} -11=0$.,18,"уединить корень,возвести в квадрат",Find the root of the equation $\sqrt{6x+13} -11=0$.
5878,Найдите значение выражения $\dfrac{49\strut^{3} }{7\strut^{3} } $.,343,привести к оснванию 7 и сократить дробь,Find the value of the expression $\dfrac{49\strut^{3} }{7\strut^{3} } $.
12275,"В таблице 1 приведены минимальные баллы ЕГЭ по четырём предметам, необходимые для подачи документов на факультеты 1--6.
\begin{flushright}\textit{Таблица 1}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}p{0.8in}|>{\centering\arraybackslash}p{0.6in}|c|c|>{\centering\arraybackslash}X|} \hline
\diaghead(3,-2){Предметтет}{Предмет}{Факультет} & русский язык & обществознание & история & иностранный язык \\ \hline
1 & 50 & 60 & 60 & 50 \\ \hline
2 & 27 & 42 & 32 & 40 \\ \hline
3 & 40 & 70 & 32 & 60 \\ \hline
4 & 36 & 42 & 50 & 22 \\ \hline
5 & 27 & 65 & 32 & 55 \\ \hline
6 & 27 & 42 & 60 & 22 \\ \hline
\end{tabularx}
\end{center}

В таблице 2 приведены данные о баллах ЕГЭ по пяти предметам абитуриента В.
\begin{flushright}\textit{Таблица 2}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|c|*{5}{@{}>{\centering\arraybackslash}X@{}|}} \hline
Предмет & русский язык & общество\-знание & история & английский язык & немецкий язык \\ \hline
Баллы & 68 & 65 & 58 & 64 & 40 \\ \hline
\end{tabularx}
\end{center}

Выберите факультеты, на которые может подавать документы абитуриент~В. В ответе укажите номера выбранных факультетов без пробелов, запятых и других дополнительных символов.",245,сравнение и отбор,"Table 1 shows the minimum Unified State Exam scores required for submitting documents to faculties 1--6.

\begin{flushright}\textit{Table 1}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}p{0.8in}|>{\centering\arraybackslash}p{0.6in}|c|c|>{\centering\arraybackslash}X|} \hline
\diaghead(3,-2){Subjectbject}{Subject}{Faculty} & Russian language & Social studies & History & Foreign language \\ \hline
1 & 50 & 60 & 60 & 50 \\ \hline
2 & 27 & 42 & 32 & 40 \\ \hline
3 & 40 & 70 & 32 & 60 \\ \hline
4 & 36 & 42 & 50 & 22 \\ \hline
5 & 27 & 65 & 32 & 55 \\ \hline
6 & 27 & 42 & 60 & 22 \\ \hline
\end{tabularx}
\end{center}

Table 2 presents the data on the Unified State Exam scores for applicant V in five subjects.

\begin{flushright}\textit{Table 2}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|c|*{5}{@{}>{\centering\arraybackslash}X@{}|}} \hline
Subject & Russian language & Social studies & History & English language & German language \\ \hline
Scores & 68 & 65 & 58 & 64 & 40 \\ \hline
\end{tabularx}
\end{center}

Select the faculties to which applicant V can submit documents. In your answer, indicate the numbers of the selected faculties without spaces, commas, and other additional symbols."
5766,"Найдите значение выражения $1,26:1,4-0,5$.",0.4,умножить и вычесть,Find the value of the expression $1.26 \div 1.4 - 0.5$.
3205,Найдите значение выражения $5\strut^{\log_{5} 2+1}$.,10,степень суммы в произведение степеней,Find the value of the expression $5^{(\log_{5} 2+1)}$.
8081,Найдите значение выражения $\dfrac{\sqrt{5} \cdot \sqrt{6}}{\sqrt{2 \cdot 15}}$.,1,под один корень и сократить дробь,Find the value of the expression $\dfrac{\sqrt{5} \cdot \sqrt{6}}{\sqrt{2 \cdot 15}}$.
2415,Найдите значение выражения $36\cdot \left(\dfrac{5}{6} - \dfrac{7}{36} - \dfrac{9}{12} \right)$.,-4,умножить 36 на все слагаемые в скобках,Find the value of the expression $36\cdot \left(\dfrac{5}{6} - \dfrac{7}{36} - \dfrac{9}{12} \right)$.
4965,"Установите соответствие между величинами и их возможными значениями: к~каждому элементу первого столбца подберите соответствующий элемент из~второго столбца.

\vspace{\medskip}

\begin{center}\hyphenpenalty=10000\begin{tabular}{p{8cm}p{5cm}}
ВЕЛИЧИНЫ & ЗНАЧЕНИЯ \\
А) масса таблетки лекарства & 1) $3,3464\cdot 10^{-27}$ кг \\
Б) масса Земли & 2) 100 т \\
В) масса молекулы водорода & 3) 500 мг \\
Г) масса взрослого кита & 4) $5,9726\cdot 10^{24}$ кг \\
\end{tabular}\end{center}

\vspace{\medskip}


В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|c|c|c|c|} \hline
А & Б & В & Г \\ \hline
 &  &  &  \\ \hline
\end{tabular}",3412,сопоставить,"Establish the correspondence between the magnitudes and their possible values: match the corresponding element from the second column to each element of the first column.

\begin{center}\hyphenpenalty=10000\begin{tabular}{p{8cm}p{5cm}}
MAGNITUDES & VALUES \\
A) the mass of a medicine tablet & 1) $3.3464\cdot 10^{-27}$ kg \\
B) the mass of the Earth & 2) 100 tons \\
C) the mass of a hydrogen molecule & 3) 500 mg \\
D) the mass of an adult whale & 4) $5.9726\cdot 10^{24}$ kg \\
\end{tabular}\end{center}

\vspace{\medskip}

In the table below, indicate the number of its possible value under each letter corresponding to the magnitude.

\vspace{\medskip}

\begin{tabular}{|c|c|c|c|} \hline
A & B & C & D \\ \hline
 &  &  &  \\ \hline
\end{tabular}"
7643,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и их решениями.


\begin{center}
\hyphenpenalty=10000
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}} 
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $\log _{4} x>1$ & 1) $0<x<\dfrac{1}{4} $ \\ 
Б) $\log _{4} x>-1$ & 2) $x>\dfrac{1}{4} $ \\ 
В) $\log _{4} x<-1$ & 3) $0<x<4$ \\ 
Г) $\log _{4} x<1$ & 4) $x>4$ \\
\end{tabularx}\end{center}\vspace{\medskip}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & & \\ \hline\end{tabular}\end{center}\vspace{\medskip}",4213,пропотенцировать и сопоставить,"Each of the four inequalities in the left column corresponds to one of the solutions in the right column. Establish the correspondence between the inequalities and their solutions.

\begin{center}
\hyphenpenalty=10000
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}} 
\multicolumn{1}{C}{INEQUALITIES} & \multicolumn{1}{C}{SOLUTIONS} \\
A) $\log _{4} x>1$ & 1) $0<x<\dfrac{1}{4} $ \\ 
B) $\log _{4} x>-1$ & 2) $x>\dfrac{1}{4} $ \\ 
C) $\log _{4} x<-1$ & 3) $0<x<4$ \\ 
D) $\log _{4} x<1$ & 4) $x>4$ \\
\end{tabularx}\end{center}\vspace{\medskip}

Fill in the table provided in the answer with the corresponding solution number under each letter.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline A & B & C & D \\ \hline & & & \\ \hline\end{tabular}\end{center}\vspace{\medskip}"
10661,"Из книги выпало несколько идущих подряд листов. Номер последней страницы перед выпавшими листами~--- 274, 
номер первой страницы после выпавших листов записывается теми же цифрами, но в другом порядке. 
Сколько листов выпало?",76,"выпали страницы с нечетной по четную, листов вдвое меньше","Several consecutive pages fell out of a book. The number of the last page before the fallen pages is 274, and the number of the first page after the fallen pages is written with the same digits, but in a different order. How many pages fell out?"
2851,Найдите значение выражения $9\cdot 10^{2} +3\cdot 10 +7\cdot 10^{3}$.,7930,перевести в десятичную запись,Find the value of the expression $9\cdot 10^{2} +3\cdot 10 +7\cdot 10^{3}$.
11878,"Про натуральные числа $A$, $B$ и $C$ известно, что каждое из них больше~5, но~меньше 9. Загадали натуральное число, затем его умножили на $A$, потом прибавили к полученному произведению $B$ и вычли $C$. Получилось 340. Какое число было загадано?",57,"разложить числа от 340-2 до +2 на множители и выбрать кратное 6, 7,8.","It is known about the natural numbers $A$, $B$, and $C$ that each of them is greater than 5 but less than 9. A natural number was guessed, then it was multiplied by $A$, then $B$ was added to the resulting product, and $C$ was subtracted. The result was 340. What number was guessed?"
3509,"Для обслуживания международного семинара необходимо собрать группу переводчиков. Сведения о кандидатах представлены в таблице.

\vspace{\baselineskip}

\hyphenpenalty=10000
\begin{tabularx}{\textwidth}{|C|C|>{\centering\arraybackslash}X|} \hline
Номер переводчика & Языки & Стоимость услуг \newline (руб. в день) \\ \hline
1 & Испанский & 2850 \\ \hline
2 & Испанский, Английский & 6050 \\ \hline
3 & Английский & 1900 \\ \hline
4 & Испанский, Французский & 5950 \\ \hline
5 & Французский, Немецкий & 6800 \\ \hline
6 & Немецкий & 4050 \\ \hline
\end{tabularx}
\vspace{\medskip}
\hyphenpenalty=50


Пользуясь таблицей, соберите хотя бы одну группу, в которой переводчики вместе владеют всеми четырьмя языками: английским, немецким, испанским и французским, а суммарная стоимость их услуг не превышает 12~000~рублей в~день. В ответе укажите какой-нибудь один набор номеров переводчиков без пробелов, запятых и других дополнительных символов.","[135, 346]",перебор,"To service an international seminar, a team of translators needs to be assembled. Information about the candidates is presented in the table.

\begin{tabularx}{\textwidth}{|C|C|>{\centering\arraybackslash}X|} \hline
Translator Number & Languages & Service Cost \newline (RUB per day) \\ \hline
1 & Spanish & 2850 \\ \hline
2 & Spanish, English & 6050 \\ \hline
3 & English & 1900 \\ \hline
4 & Spanish, French & 5950 \\ \hline
5 & French, German & 6800 \\ \hline
6 & German & 4050 \\ \hline
\end{tabularx}
\vspace{\medskip}

Using the table, assemble at least one group of translators who collectively speak all four languages: English, German, Spanish, and French, and whose total service cost does not exceed 12,000 RUB per day. In your answer, indicate any one set of translator numbers without spaces, commas, or other additional symbols."
9665,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и~их решениями.

\begin{center}
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{XX}
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $\left(x-2\right)^{2} \left(x-4\right)<0$ & 1) $x<2$ или $2<x<4$ \\ 
Б) $\dfrac{\left(x-4\right)^{2} }{x-2} >0$ & 2) $x<2$ или $x>4$ \\
В) $\left(x-2\right)\left(x-4\right)<0$ & 3) $2<x<4$ \\ 
Г) $\dfrac{x-2}{x-4} >0$ & 4) $2<x<4$ или $x>4$ \\ 
 \end{tabularx}
\end{center}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & &  \\ \hline\end{tabular}",1432,неравенства метод интервалов и сопоставить,"Each of the four inequalities in the left column corresponds to one of the solutions in the right column. Establish the correspondence between the inequalities and their solutions.

\begin{center}
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{XX}
\multicolumn{1}{C}{INEQUALITIES} & \multicolumn{1}{C}{SOLUTIONS} \\
A) $\left(x-2\right)^{2} \left(x-4\right)<0$ & 1) $x<2$ or $2<x<4$ \\ 
B) $\dfrac{\left(x-4\right)^{2} }{x-2} >0$ & 2) $x<2$ or $x>4$ \\
C) $\left(x-2\right)\left(x-4\right)<0$ & 3) $2<x<4$ \\ 
D) $\dfrac{x-2}{x-4} >0$ & 4) $2<x<4$ or $x>4$ \\ 
 \end{tabularx}
\end{center}

Fill in the table provided in the answer with the corresponding solution number under each letter.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline A & B & C & D \\ \hline & & &  \\ \hline\end{tabular}"
7505,"Среднее квадратичное трёх чисел $a$, $b$ и $c$ вычисляется по формуле $q=\sqrt{\dfrac{a^{2} +b^{2} +c^{2} }{3} }$. Найдите среднее квадратичное чисел $\sqrt{2}$, 3 и 17.",10,подставить числа в формулу,"The root mean square of three numbers $a$, $b$, and $c$ is calculated by the formula $q=\sqrt{\frac{a^{2} + b^{2} + c^{2}}{3}}$. Find the root mean square of the numbers $\sqrt{2}$, 3, and 17."
5843,Найдите значение выражения $\dfrac{\left(9\strut^{- 3} \right)^{2} }{9\strut^{- 8} } $.,81,действия со степенями,Find the value of the expression $\dfrac{\left(9^{- 3} \right)^{2} }{9^{- 8} } $.
4028,"Площадь треугольника можно вычислить по формуле $S=\dfrac{abc}{4R}$, где $a$, $b$ и $c$~--- стороны треугольника, а $R$~--- радиус окружности, описанной около этого треугольника. Пользуясь этой формулой, найдите $S$, если ${a=4}$, ${b=13}$, ${c=15}$ и $R=\dfrac{65}{8}$.",24,подставить числа в формулу,"The area of a triangle can be calculated using the formula $S=\dfrac{abc}{4R}$, where $a$, $b$, and $c$ are the sides of the triangle, and $R$ is the radius of the circumscribed circle around the triangle. Using this formula, find $S$ if ${a=4}$, ${b=13}$, ${c=15}$ and $R=\dfrac{65}{8}$."
9604,"Цифры четырёхзначного числа, кратного 5, записали в обратном порядке и получили второе четырёхзначное число. Затем из исходного числа вычли второе и получили 3627. В ответе укажите какое-нибудь одно такое исходное число.","[8925, 8815, 8705]",перебор или уравнение в цифрах,"The digits of a four-digit number divisible by 5 were written in reverse order, resulting in a second four-digit number. Then, the second number was subtracted from the original number, resulting in 3627. Indicate any one such original number as the answer."
4764,"Перед волейбольным турниром измерили рост игроков волейбольной команды города N. Оказалось, что рост каждого из волейболистов этой команды больше 190 см и меньше 210 см. Выберите утверждения, которые верны при указанных условиях.

\begin{center}
\begin{tabularx}{\textwidth}{p{0.1cm}X} 
1) & В волейбольной команде города N обязательно есть игрок, рост которого равен 220 см. \\ 
2) & В волейбольной команде города N нет игроков с ростом 189 см. \\ 
3) & Рост любого волейболиста этой команды меньше 210 см. \\ 
4) & Разница в росте любых двух игроков волейбольной команды города N составляет более 20 см. \\ 
\end{tabularx}
\end{center}

В ответе запишите номера выбранных утверждений без пробелов, запятых и других дополнительных символов.",23,выбор верных утверждений,"Before the volleyball tournament, they measured the height of the players of the volleyball team of city N. It turned out that the height of each of the volleyball players on this team is more than 190 cm and less than 210 cm. Select the statements that are true under the given conditions.

\begin{center}
\begin{tabularx}{\textwidth}{p{0.1cm}X} 
1) & In the volleyball team of city N, there is definitely a player whose height is 220 cm. \\ 
2) & In the volleyball team of city N, there are no players with a height of 189 cm. \\ 
3) & The height of any volleyball player on this team is less than 210 cm. \\ 
4) & The height difference between any two players on the volleyball team of city N is more than 20 cm. \\ 
\end{tabularx}
\end{center}

In your response, write down the numbers of the selected statements without spaces, commas, and other additional characters."
12195,"Найдите четырёхзначное число, большее 2000, но меньшее 3000, которое делится на 60 и сумма цифр которого равна 12. В ответе укажите какое-нибудь одно такое число.","[2280, 2460, 2640, 2820]",перебор,"Find a four-digit number greater than 2000 but less than 3000, which is divisible by 60 and the sum of its digits equals 12. In your answer, indicate any one such number."
7034,Цена на электрический чайник была повышена на 13\% и составила 1921~рубль. Сколько рублей стоил чайник до повышения цены?,1700,число по проценту,The price of an electric kettle was increased by 13% and amounted to 1921 rubles. How much did the kettle cost before the price increase?
10711,"На ленте по разные стороны от середины отмечены две тонкие поперечные полоски: синяя и красная. Если разрезать ленту по красной полоске, то одна часть будет на 35~см длиннее другой. Если разрезать ленту по синей полоске, то одна часть будет на 5~см длиннее другой. Найдите расстояние (в сантиметрах) между красной и синей полосками.",20,система уравнений,"Two thin transverse stripes, blue and red, are marked on the tape on different sides of the middle. If the tape is cut along the red stripe, one part will be 35 cm longer than the other. If the tape is cut along the blue stripe, one part will be 5 cm longer than the other. Find the distance (in centimeters) between the red and blue stripes."
2407,Найдите значение выражения $12\cdot \left(\dfrac{13}{24}  - \dfrac{7}{12}  -  \dfrac{1}{6} \right)$.,-2.5,умножить 12 на каждую дробь в скобках,Find the value of the expression $12\cdot \left(\dfrac{13}{24} - \dfrac{7}{12} - \dfrac{1}{6} \right)$.
7118,"После уценки телевизора его новая цена составила 0,48 от старой цены. На~сколько процентов уменьшилась цена телевизора в результате уценки?",52,дробь в проценты,"After the markdown, the new price of the television was 0.48 of the old price. By what percentage did the price of the television decrease as a result of the markdown?"
8549,Найдите корень уравнения $\dfrac{1}{\sqrt{x}}=\dfrac{1}{5}$.,25,в квадрат обе части,Find the root of the equation $\dfrac{1}{\sqrt{x}}=\dfrac{1}{5}$.
8417,"По тарифному плану «Просто как день» компания сотовой связи каждый вечер снимает со счёта абонента 16 рублей. Если на счёте осталось меньше 16 рублей, то на следующее утро номер блокируют до пополнения счёта. Сегодня утром у Лизы на счёте было 500 рублей. Сколько дней (включая сегодняшний) она сможет пользоваться телефоном, не пополняя счёта?",31,делить с остатком,"Under the ""Simple as Day"" tariff plan, the mobile company deducts 16 rubles from the subscriber's account every evening. If the account has less than 16 rubles left, then the next morning the number is blocked until the account is replenished. This morning, Liza had 500 rubles in her account. How many days (including today) will she be able to use her phone without topping up her account?"
9603,"Цифры четырёхзначного числа, кратного 5, записали в обратном порядке и получили второе четырёхзначное число. Затем из исходного числа вычли второе и получили 2457. В ответе укажите какое-нибудь одно такое исходное число.","[8065, 8155, 8245, 8335, 8425, 8515, 8605]",перебор или уравнение в цифрах,"The digits of a four-digit number that is a multiple of 5 were written in reverse order, resulting in a second four-digit number. Then, the second number was subtracted from the original number, yielding 2457. Indicate any one such original number in your answer."
4438,Найдите значение выражения $\sqrt{24} \cdot \sqrt{6} $.,12,под общий корень,Find the value of the expression $\sqrt{24} \cdot \sqrt{6}$.
3659,"В начале года число абонентов телефонной компании «Юг» составляло 700 тыс. человек, а в конце года их стало 875 тыс. человек. На сколько процентов увеличилось за год число абонентов этой компании?",25,дробь в проценты,"At the beginning of the year, the number of subscribers of the telephone company ""South"" was 700 thousand people, and by the end of the year, it had increased to 875 thousand people. By what percentage did the number of subscribers of this company increase over the year?"
8322,"Шоколадка стоит 25 рублей. В воскресенье в супермаркете действует специальное предложение: заплатив за три шоколадки, покупатель получает четыре (одну в подарок). Сколько шоколадок можно получить на 130 рублей в воскресенье?",6,деление с остатком+ условие,"A chocolate bar costs 25 rubles. On Sunday, the supermarket has a special offer: pay for three chocolate bars and get four (one for free). How many chocolate bars can you get for 130 rubles on Sunday?"
7903,"Теорему синусов можно записать в виде $\dfrac{a}{\sin \alpha } =\dfrac{b}{\sin \beta } $, где $a$ и $b$~--- две стороны треугольника, а $\alpha$ и $\beta$~--- углы треугольника, лежащие против них соответственно. Пользуясь этой формулой, найдите величину $\sin \alpha$, если $a=27$, $b=20$, $\sin \beta=\dfrac{2}{3}$.",0.9,решить пропорцию,"The Law of Sines can be written as $\frac{a}{\sin \alpha} = \frac{b}{\sin \beta}$, where $a$ and $b$ are two sides of a triangle, and $\alpha$ and $\beta$ are the angles opposite to them, respectively. Using this formula, find the value of $\sin \alpha$, if $a=27$, $b=20$, $\sin \beta=\frac{2}{3}$."
4785,Сырок стоит 18~рублей. Какое наибольшее число сырков можно купить на 250~рублей?,13,деление с остатком+ условие,A cheese snack costs 18 rubles. What is the greatest number of cheese snacks one can buy for 250 rubles?
2377,"Найдите значение выражения $\dfrac{13}{45} :\dfrac{26}{9} +2,5$.",2.6,от обыкновенных дробей в десятичные,Find the value of the expression $\dfrac{13}{45} :\dfrac{26}{9} +2.5$.
4187,"В таблице приведены размеры штрафов за превышение максимальной разрешённой скорости, зафиксированное с помощью средств автоматической фиксации, установленных на территории России с 1 сентября 2013 года.

\begin{tabular}{|c|c|c|c|c|} \hline
Превышение скорости, км/ч & 21—40 & 41—60 & 61—80 & 81 и более \\ \hline
Размер штрафа, руб. & 500 & 1000 & 2000 & 5000 \\ \hline
\end{tabular}

Определите с помощью таблицы, какой штраф должен заплатить владелец автомобиля, зафиксированная скорость которого составила 75 км/ч на участке дороги с максимальной разрешённой скоростью 40 км/ч. Ответ дайте в рублях.",500,узнать данные из таблицы,"The table shows the fines for exceeding the maximum permitted speed, recorded by automatic recording devices installed in the territory of Russia since September 1, 2013.

\begin{tabular}{|c|c|c|c|c|} \hline
Speeding, km/h & 21—40 & 41—60 & 61—80 & 81 and more \\ \hline
Fine amount, rub. & 500 & 1000 & 2000 & 5000 \\ \hline
\end{tabular}

Using the table, determine the fine that the car owner must pay if the recorded speed of the car was 75 km/h in a section of the road with a maximum permitted speed of 40 km/h. Give the answer in rubles."
